OBJECTID,Date,Dead,Serious injuries,Light injuries,Day of the week,Day/Night,Type of the accident,Cause of the accident,Alcohol or drugs,Weather conditions,Place,Vehicle type,Vehicle characteristic,Skid,Total damage in Czk,x,y
11,12/28/2017,0,0,1,Thursday,Night,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1849441.986983891,6307472.295670963
12,12/27/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1851246.8773477348,6300578.008304493
13,12/27/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,1000,1847923.7655708634,6309523.257934276
14,12/27/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851359.654901217,6310174.030795599
15,12/27/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845474.429976894,6319334.525756493
16,12/27/2017,0,0,1,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,120000,1850876.747833209,6316229.4448172115
17,12/27/2017,0,0,0,Wednesday,Day,Collision with a tram,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet","Not identified, the driver has fled",Not identified,No,0,1851056.6529320714,6310431.348334525
18,12/26/2017,0,0,0,Tuesday,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Fog,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1858564.796029749,6307364.192930531
19,12/26/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847186.8365530646,6306521.11227982
20,12/26/2017,0,0,0,Tuesday,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,40000,1846312.6341278346,6312371.787937852
21,12/26/2017,0,0,1,Tuesday,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,20000,1835630.1452849447,6310145.2929231245
22,12/26/2017,0,0,0,Tuesday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Gas station,Truck,Private company,No,25000,1847000.0034856894,6314719.934781728
23,12/25/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1857205.8113596884,6310422.604303918
24,12/24/2017,0,0,0,Sunday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,5000,1844863.2212958145,6311321.126458028
25,12/23/2017,0,0,0,Saturday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1837379.7130901273,6312249.393217971
26,12/23/2017,0,0,0,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1848749.3463141809,6313683.697328396
27,12/23/2017,0,0,1,Saturday,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,Private company,No,10000,1847170.952374921,6313678.129199179
28,12/23/2017,0,0,0,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.","Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,30000,1847260.089898704,6309784.827604168
29,12/23/2017,0,0,0,Saturday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,2000,1844985.294583378,6319358.766876738
30,12/23/2017,0,0,0,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848329.0341958478,6308307.118407171
31,12/23/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855736.6960909932,6309401.1504449425
32,12/22/2017,0,0,0,Friday,Day,Other collisions,Technical defect of the vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844568.3406401207,6302153.4847154
33,12/22/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1844086.4265419738,6304876.210530051
34,12/22/2017,0,1,0,Friday,Day,Other collisions,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1846322.3392949945,6316030.785949815
35,12/22/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850270.1404319624,6309228.241479123
36,12/22/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,110000,1849087.2864621095,6306814.859762179
37,12/22/2017,0,0,1,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,50000,1840053.8521618664,6313101.880372898
38,12/22/2017,0,0,2,Friday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,5000,1845604.140449444,6316889.91466251
39,12/22/2017,0,0,2,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,200000,1848079.7574619937,6304278.5313910125
40,12/22/2017,0,0,0,Friday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,10000,1843470.3844799225,6304832.127289643
41,12/22/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854351.5886326262,6307337.6007900825
42,12/22/2017,0,0,0,Friday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1854457.6044176032,6310310.328594824
43,12/22/2017,0,0,0,Friday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,0,1849966.0643410513,6307478.463882295
44,12/21/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Truck,"Private, not used for business activity",No,20000,1840220.1589170082,6312965.169743075
45,12/21/2017,0,0,1,Thursday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Private company,No,0,1851335.97446254,6307116.283812072
46,12/21/2017,0,0,1,Thursday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850292.3973169923,6305511.568672017
47,12/21/2017,0,0,0,Thursday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849227.0282679333,6307800.106622446
48,12/21/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846195.919092641,6314003.766368052
49,12/21/2017,0,1,0,Thursday,Day,Collision with pedestrian,Pedestrian,Under influence of alcohol,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1851202.955018127,6312924.084410797
50,12/21/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1849809.4551833486,6311056.968122021
51,12/21/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1857897.9640047485,6303397.361752601
52,12/21/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1855500.8015184044,6306041.8690074915
53,12/21/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Gas station,Passenger car without a trailer,Private company,No,110000,1848156.8102531682,6304835.534476816
54,12/21/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1843655.3187707392,6311917.66671826
55,12/20/2017,0,0,1,Wednesday,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus, trolleybus, tram stop. islet",Truck,Private company,No,10000,1850070.6325273658,6308560.216233717
56,12/20/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1845107.0964740198,6319894.578908568
57,12/20/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of drugs,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1846300.7871736619,6307957.789544498
58,12/20/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Under influence of drugs,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,2000,1849460.1787037558,6309155.007415504
59,12/20/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,30000,1845137.6746023055,6303469.845540203
60,12/20/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Rain,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847313.935247715,6311970.709065197
61,12/19/2017,0,0,1,Tuesday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,20000,1842901.946973596,6303670.499104482
62,12/19/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1856813.4872990472,6309420.0241028
63,12/19/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,200000,1858143.8315792012,6305496.781165264
64,12/19/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,300000,1845106.6516413372,6319894.238927739
65,12/19/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850595.9526553273,6305610.477586058
66,12/19/2017,0,1,0,Tuesday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Snow,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,20000,1845896.0420842431,6317538.467322682
67,12/19/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1851057.1992881317,6303258.787604614
68,12/19/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Registered outside of the Czech Republic,No,10000,1847578.1692023203,6304206.162903125
69,12/18/2017,0,0,3,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,"Private, not used for business activity",No,45000,1856456.374038624,6309401.976082462
70,12/18/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1849293.906457652,6307141.38350945
71,12/18/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845018.274763633,6317110.778842258
72,12/18/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847525.4000901359,6304594.938239255
73,12/18/2017,0,0,0,Monday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847791.72796436,6309174.83204102
74,12/18/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851257.883839743,6309488.378661828
75,12/18/2017,0,0,0,Monday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,150000,1854890.1421990108,6307106.431656236
76,12/17/2017,0,0,0,Sunday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,200000,1846321.9404372626,6308044.668938667
77,12/17/2017,0,0,1,Sunday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,5000,1837777.002667977,6312022.867224354
78,12/17/2017,0,0,0,Sunday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,40000,1849432.9737786767,6307954.950390444
79,12/17/2017,0,0,1,Sunday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,20000,1853205.7792289655,6307321.971870067
80,12/17/2017,0,0,0,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845016.8243819873,6310847.0214550095
81,12/17/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1849547.7521886865,6308168.743223477
82,12/17/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848025.5138118365,6306515.800951306
83,12/16/2017,0,0,0,Saturday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1849275.0169872202,6308082.041415823
84,12/16/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,0,1848331.5556936332,6307540.865067796
85,12/16/2017,0,0,0,Saturday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, used for business activity",No,50000,1850106.3251183392,6307449.500309493
86,12/16/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845479.5349774237,6303453.657863616
87,12/16/2017,0,0,1,Saturday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1847656.1886919555,6301200.605017373
88,12/16/2017,0,0,0,Saturday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1848700.2941598005,6308572.532958966
89,12/16/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844963.47640846,6303914.422989156
90,12/16/2017,0,0,0,Saturday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851190.6421918895,6303177.9678392345
91,12/15/2017,0,0,2,Friday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,40000,1849922.695269315,6308738.256070044
92,12/15/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,30000,1834492.1896939932,6317969.521132696
93,12/15/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849676.1143595665,6311559.544817263
94,12/15/2017,0,0,0,Friday,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1845538.7352392226,6309044.233353265
95,12/15/2017,0,0,0,Friday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850129.9173919815,6313413.970060382
96,12/15/2017,0,0,0,Friday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1845077.1092295877,6306355.634247348
97,12/15/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849282.7520220361,6309581.310525081
98,12/15/2017,0,0,2,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,70000,1858155.8794650496,6303107.617042792
99,12/15/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1847257.476339699,6308312.9504416585
100,12/15/2017,0,0,0,Friday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847991.6746903872,6309639.630501156
101,12/15/2017,0,0,0,Friday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1848047.4711361204,6304194.41529939
102,12/14/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Truck,Private company,No,1000,1847513.1016241126,6312387.425035517
103,12/14/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1856242.6628801997,6309989.485910119
104,12/14/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1850697.5739920812,6308341.786491648
105,12/14/2017,0,0,1,Thursday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844376.9544942554,6304444.69078219
106,12/14/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848885.5103115737,6308045.769214018
107,12/14/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1852158.5990054572,6308181.877399054
108,12/14/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855676.6829742754,6305965.732352212
109,12/14/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,0,1848658.3322777487,6311816.758798963
110,12/14/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,20000,1849903.3088686727,6314438.696272258
111,12/14/2017,0,0,0,Thursday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,120000,1849455.8046270057,6308573.754939099
112,12/14/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848287.9898090367,6306119.965070963
113,12/13/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Bus,Public transport,No,10000,1845571.243090881,6312189.101515885
114,12/13/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1850288.4934537718,6305732.089929772
115,12/13/2017,0,0,1,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1850644.7537842533,6309915.395516928
116,12/13/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848458.9214437467,6307684.6368823275
117,12/13/2017,0,0,0,Wednesday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846307.2798829623,6318237.209060956
118,12/13/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1846579.1563658842,6316119.10336097
119,12/13/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,20000,1849269.602407183,6309220.439487892
120,12/13/2017,0,0,0,Wednesday,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1851082.7764996188,6303243.691980169
121,12/12/2017,0,0,1,Tuesday,Night,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,50000,1850898.5377329781,6315429.570982954
122,12/12/2017,0,1,0,Tuesday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Private company,No,0,1850848.909500231,6303634.625390508
123,12/12/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847281.7487754258,6311516.343786256
124,12/12/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1851109.4271649488,6301417.852997165
125,12/12/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,50000,1845154.6482643066,6304960.468291977
126,12/12/2017,0,0,1,Tuesday,Day,Other collisions,Pedestrian,Under influence of alcohol,Clear,"Bus, trolleybus, tram stop. islet",Bus,Public transport,No,0,1847449.375111815,6314054.352266688
127,12/12/2017,0,0,0,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,150000,1840811.3683836497,6312785.490879604
128,12/12/2017,0,0,0,Tuesday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Private company,No,150000,1850416.1344969855,6304552.772767651
129,12/11/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,Registered outside of the Czech Republic,No,90000,1856272.7927248974,6302766.450804483
130,12/11/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1850575.6269408206,6309985.260485293
