objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
11,2020/12/28 00:00,0,0,1,Thu,Night,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1849441.986983891,6307472.295670963,49.19182095500001,16.613820040000064
12,2020/12/27 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1851246.8773477348,6300578.008304493,49.15132977400004,16.630033646000072
13,2020/12/27 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,1000,1847923.7655708634,6309523.257934276,49.20386017200008,16.60018162500006
14,2020/12/27 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851359.654901217,6310174.030795599,49.207679618000036,16.63104674400006
15,2020/12/27 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845474.429976894,6319334.525756493,49.26141210600007,16.578178869000055
16,2020/12/27 00:00,0,0,1,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,120000,1850876.747833209,6316229.4448172115,49.24320525800004,16.62670871600005
17,2020/12/27 00:00,0,0,0,Wed,Day,Collision with a tram,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet","Not identified, the driver has fled",Not identified,No,0,1851056.6529320714,6310431.348334525,49.20918975700005,16.62832483100004
18,2020/12/26 00:00,0,0,0,Tue,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Fog,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1858564.796029749,6307364.192930531,49.19118630700006,16.695771628000045
19,2020/12/26 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847186.8365530646,6306521.11227982,49.18623648200002,16.59356167900006
20,2020/12/26 00:00,0,0,0,Tue,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,40000,1846312.6341278346,6312371.787937852,49.22057627700008,16.585708585000077
21,2020/12/26 00:00,0,0,1,Tue,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,20000,1835630.1452849447,6310145.2929231245,49.20751095900004,16.489746155000034
22,2020/12/26 00:00,0,0,0,Tue,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Gas station,Truck,Private company,No,25000,1847000.0034856894,6314719.934781728,49.23435172000005,16.59188332900004
23,2020/12/25 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1857205.8113596884,6310422.604303918,49.209138441000036,16.683563661000047
24,2020/12/24 00:00,0,0,0,Sun,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,5000,1844863.2212958145,6311321.126458028,49.21441131000005,16.57268828800005
25,2020/12/23 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1837379.7130901273,6312249.393217971,49.21985814100003,16.505462790000024
26,2020/12/23 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1848749.3463141809,6313683.697328396,49.22827308900002,16.60759794300003
27,2020/12/23 00:00,0,0,1,Sat,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Passenger car without a trailer,Private company,No,10000,1847170.952374921,6313678.129199179,49.228240424000035,16.593418989000043
28,2020/12/23 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.","Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,30000,1847260.089898704,6309784.827604168,49.20539538400004,16.59421972500007
29,2020/12/23 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,2000,1844985.294583378,6319358.766876738,49.261554219000054,16.57378489100006
30,2020/12/23 00:00,0,0,0,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848329.0341958478,6308307.118407171,49.19672174600004,16.603822215000037
31,2020/12/23 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855736.6960909932,6309401.1504449425,49.203143479000055,16.670366374000025
32,2020/12/22 00:00,0,0,0,Fri,Day,Other collisions,Technical defect of the vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844568.3406401207,6302153.4847154,49.16058570200004,16.570039330000043
33,2020/12/22 00:00,0,0,0,Fri,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,10000,1844086.4265419738,6304876.210530051,49.17657764600005,16.56571022200006
34,2020/12/22 00:00,0,1,0,Fri,Day,Other collisions,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1846322.3392949945,6316030.785949815,49.24204018000006,16.585795768000025
35,2020/12/22 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850270.1404319624,6309228.241479123,49.202128596000065,16.62125946900005
36,2020/12/22 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,110000,1849087.2864621095,6306814.859762179,49.18796116400006,16.610633711000048
37,2020/12/22 00:00,0,0,1,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,50000,1840053.8521618664,6313101.880372898,49.22485978800006,16.529484990000068
38,2020/12/22 00:00,0,0,2,Fri,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,Private company,No,5000,1845604.140449444,6316889.91466251,49.24707852900006,16.579344078000073
39,2020/12/22 00:00,0,0,2,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,200000,1848079.7574619937,6304278.5313910125,49.17306761700007,16.60158292400007
40,2020/12/22 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,10000,1843470.3844799225,6304832.127289643,49.17631876400004,16.56017622200005
41,2020/12/22 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1854351.5886326262,6307337.6007900825,49.19103018900005,16.657923742000033
42,2020/12/22 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,0,1854457.6044176032,6310310.328594824,49.20847952500002,16.65887609800006
43,2020/12/22 00:00,0,0,0,Fri,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,0,1849966.0643410513,6307478.463882295,49.19185716700007,16.618527907000043
44,2020/12/21 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Truck,"Private, not used for business activity",No,20000,1840220.1589170082,6312965.169743075,49.224057724000026,16.53097894900003
45,2020/12/21 00:00,0,0,1,Thu,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Private company,No,0,1851335.97446254,6307116.283812072,49.189730855000036,16.630834019000076
46,2020/12/21 00:00,0,0,1,Thu,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850292.3973169923,6305511.568672017,49.18030868200002,16.621459406000042
47,2020/12/21 00:00,0,0,0,Thu,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849227.0282679333,6307800.106622446,49.19374541300004,16.611889033000065
48,2020/12/21 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846195.919092641,6314003.766368052,49.23015071300006,16.584660116000066
49,2020/12/21 00:00,0,1,0,Thu,Day,Collision with pedestrian,Pedestrian,Under influence of alcohol,"At the beginning of the rain, light rain, drizzle, etc.",None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1851202.955018127,6312924.084410797,49.22381667900003,16.62963908500006
50,2020/12/21 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1849809.4551833486,6311056.968122021,49.21286118700003,16.61712106300007
51,2020/12/21 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1857897.9640047485,6303397.361752601,49.16789226100007,16.68978137400006
52,2020/12/21 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1855500.8015184044,6306041.8690074915,49.18342256800001,16.66824729700005
53,2020/12/21 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Gas station,Passenger car without a trailer,Private company,No,110000,1848156.8102531682,6304835.534476816,49.17633877300005,16.602275101000032
54,2020/12/21 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1843655.3187707392,6311917.66671826,49.21791172400002,16.561837515000036
55,2020/12/20 00:00,0,0,1,Wed,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus, trolleybus, tram stop. islet",Truck,Private company,No,10000,1850070.6325273658,6308560.216233717,49.19820745000004,16.619467259000032
56,2020/12/20 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1845107.0964740198,6319894.578908568,49.26469530000002,16.574879056000043
57,2020/12/20 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Under influence of drugs,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,40000,1846300.7871736619,6307957.789544498,49.194671085000024,16.585602162000043
58,2020/12/20 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of drugs,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,2000,1849460.1787037558,6309155.007415504,49.20169874500004,16.613983459000053
59,2020/12/20 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,30000,1845137.6746023055,6303469.845540203,49.16831799900007,16.57515374400003
60,2020/12/20 00:00,0,0,0,Wed,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Rain,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847313.935247715,6311970.709065197,49.21822295700008,16.594703426000024
61,2020/12/19 00:00,0,0,1,Tue,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,20000,1842901.946973596,6303670.499104482,49.16949653100005,16.55506986100005
62,2020/12/19 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1856813.4872990472,6309420.0241028,49.20325425600002,16.68003935400003
63,2020/12/19 00:00,0,0,0,Tue,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,200000,1858143.8315792012,6305496.781165264,49.18022184800003,16.691990040000064
64,2020/12/19 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,300000,1845106.6516413372,6319894.238927739,49.264693307000066,16.574875060000064
65,2020/12/19 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850595.9526553273,6305610.477586058,49.18088948300004,16.62418629000007
66,2020/12/19 00:00,0,1,0,Tue,Day,Collision with pedestrian,The driver of the motor vehicle,No,Snow,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,20000,1845896.0420842431,6317538.467322682,49.25088161700006,16.58196627500007
67,2020/12/19 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1851057.1992881317,6303258.787604614,49.16707832700006,16.628329739000037
68,2020/12/19 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Registered outside of the Czech Republic,No,10000,1847578.1692023203,6304206.162903125,49.17264259700004,16.597077080000073
69,2020/12/18 00:00,0,0,3,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,"Private, not used for business activity",No,45000,1856456.374038624,6309401.976082462,49.20314832500002,16.676831351000033
70,2020/12/18 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1849293.906457652,6307141.38350945,49.18987821500008,16.612489810000056
71,2020/12/18 00:00,0,0,0,Mon,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845018.274763633,6317110.778842258,49.248373701000034,16.574081157000023
72,2020/12/18 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847525.4000901359,6304594.938239255,49.174925831000046,16.596603047000027
73,2020/12/18 00:00,0,0,0,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847791.72796436,6309174.83204102,49.201815107000066,16.598995511000055
74,2020/12/18 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851257.883839743,6309488.378661828,49.20365545400004,16.63013251900003
75,2020/12/18 00:00,0,0,0,Mon,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,150000,1854890.1421990108,6307106.431656236,49.18967301300006,16.66276165100004
76,2020/12/17 00:00,0,0,0,Sun,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,200000,1846321.9404372626,6308044.668938667,49.19518110000006,16.585792185000056
77,2020/12/17 00:00,0,0,1,Sun,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,5000,1837777.002667977,6312022.867224354,49.21852900000004,16.509031703000062
78,2020/12/17 00:00,0,0,0,Sun,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,40000,1849432.9737786767,6307954.950390444,49.19465441800002,16.613739073000033
79,2020/12/17 00:00,0,0,1,Sun,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,20000,1853205.7792289655,6307321.971870067,49.190938434000024,16.647630761000073
80,2020/12/17 00:00,0,0,0,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1845016.8243819873,6310847.0214550095,49.21162915200004,16.57406812800002
81,2020/12/17 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1849547.7521886865,6308168.743223477,49.19590945400005,16.614770145000023
82,2020/12/17 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848025.5138118365,6306515.800951306,49.186205297000065,16.601095645000044
83,2020/12/16 00:00,0,0,0,Sat,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1849275.0169872202,6308082.041415823,49.19540048900006,16.612320123000075
84,2020/12/16 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,0,1848331.5556936332,6307540.865067796,49.192223507000044,16.60384486600003
85,2020/12/16 00:00,0,0,0,Sat,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, used for business activity",No,50000,1850106.3251183392,6307449.500309493,49.19168712900006,16.619787891000044
86,2020/12/16 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845479.5349774237,6303453.657863616,49.168222920000055,16.578224728000066
87,2020/12/16 00:00,0,0,1,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1847656.1886919555,6301200.605017373,49.15498773800004,16.59777794100006
88,2020/12/16 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1848700.2941598005,6308572.532958966,49.198279749000044,16.60715730000004
89,2020/12/16 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1844963.47640846,6303914.422989156,49.17092917200005,16.573588895000054
90,2020/12/16 00:00,0,0,0,Sat,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1851190.6421918895,6303177.9678392345,49.166603615000035,16.629528477000065
91,2020/12/15 00:00,0,0,2,Fri,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,40000,1849922.695269315,6308738.256070044,49.19925253100007,16.618138316000053
92,2020/12/15 00:00,0,0,0,Fri,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,30000,1834492.1896939932,6317969.521132696,49.25340913800005,16.47952372600002
93,2020/12/15 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849676.1143595665,6311559.544817263,49.21581034500007,16.615923242000065
94,2020/12/15 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,20000,1845538.7352392226,6309044.233353265,49.20104854400005,16.578756533000046
95,2020/12/15 00:00,0,0,0,Fri,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850129.9173919815,6313413.970060382,49.22669073000003,16.619999824000043
96,2020/12/15 00:00,0,0,0,Fri,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.","Not identified, the driver has fled",Not identified,No,0,1845077.1092295877,6306355.634247348,49.18526488300005,16.574609676000023
97,2020/12/15 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1849282.7520220361,6309581.310525081,49.20420090000004,16.612389608000058
98,2020/12/15 00:00,0,0,2,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,70000,1858155.8794650496,6303107.617042792,49.166190391000036,16.692098268000052
99,2020/12/15 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1847257.476339699,6308312.9504416585,49.196755981000074,16.594196247000067
100,2020/12/15 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847991.6746903872,6309639.630501156,49.20454319500004,16.600791663000052
101,2020/12/15 00:00,0,0,0,Fri,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1848047.4711361204,6304194.41529939,49.17257360300004,16.601292891000067
102,2020/12/14 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Truck,Private company,No,1000,1847513.1016241126,6312387.425035517,49.220668025000066,16.59649256800003
103,2020/12/14 00:00,0,0,0,Thu,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1856242.6628801997,6309989.485910119,49.206596537000046,16.674911551000037
104,2020/12/14 00:00,0,0,1,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Rain,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1850697.5739920812,6308341.786491648,49.19692525300007,16.625099170000052
105,2020/12/14 00:00,0,0,1,Thu,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1844376.9544942554,6304444.69078219,49.174043457000025,16.568320079000046
106,2020/12/14 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1848885.5103115737,6308045.769214018,49.19518755900003,16.608821125000077
107,2020/12/14 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1852158.5990054572,6308181.877399054,49.19598655500003,16.638223781000022
108,2020/12/14 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1855676.6829742754,6305965.732352212,49.18297551100005,16.669827267000073
109,2020/12/14 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,0,1848658.3322777487,6311816.758798963,49.21731962800004,16.606780350000065
110,2020/12/14 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,20000,1849903.3088686727,6314438.696272258,49.23270203200007,16.617964165000046
